"player_name","country"
"Pablo Prigioni","Argentina"
"Jeffery Taylor","Sweden"
"Jonas Valanciunas","Lithuania"
"Joel Freeland","England"
"Festus Ezeli","Nigeria"
"Fab Melo","Brazil"
"Evan Fournier","France"
"Nando De Colo","France"
"Mirza Teletovic","Bosnia and Herzegovina"
"Alexey Shved","Russia"
"Gorgui Dieng","Senegal"
"Elias Harris","Germany"
"Gal Mekel","Israel"
"Giannis Antetokounmpo","Greece"
"Gigi Datome","Italy"
"Jorge Gutierrez","Mexico"
"Anthony Bennett","Canada"
"Dennis Schroder","Germany"
"Rudy Gobert","France"
"Sergey Karasev","Russia"
"Vitor Faverani","Brazil"
"Steven Adams","New Zealand"
"Pero Antic","Macedonia"
"Kelly Olynyk","Canada"
"Nemanja Nedovic","Serbia"
"Ognjen Kuzmic","Bosnia and Herzegovina"
"Matthew Dellavedova","Australia"
"Miroslav Raduljica","Serbia"
"Alex Len","Ukraine"
"Nikola Mirotic","Montenegro"
"Nik Stauskas","Canada"
"Lucas Nogueira","Brazil"
"Bojan Bogdanovic","Croatia"
"Tyler Ennis","Canada"
"Andrew Wiggins","Canada"
"Sim Bhullar","Canada"
"Zoran Dragic","Slovenia"
"Dwight Powell","Canada"
"Furkan Aldemir","Turkey"
"Cameron Bairstow","Australia"
"Bruno Caboclo","Brazil"
"Dante Exum","Australia"
"Damjan Rudez","Croatia"
"Clint Capela","Switzerland"
"Joffrey Lauvergne","France"
"Joe Ingles","Australia"
"Kostas Papanikolaou","Greece"
"Jusuf Nurkic","Bosnia and Herzegovina"
"Duje Dukan","Croatia"
"Edy Tavares","Cabo Verde"
"Emmanuel Mudiay","Democratic Republic of the Congo"
"Axel Toupane","France"
"Boban Marjanovic","Serbia"
"Cristiano Felicio","Brazil"
"Damien Inglis","France"
"Salah Mejri","Tunisia"
"Sasha Kaun","Russia"
"Raul Neto","Brazil"
"Thanasis Antetokounmpo","Greece"
"Tibor Pleiss","Germany"
"Kristaps Porzingis","Latvia"
"Luis Montero","Dominican Republic"
"Nemanja Bjelica","Serbia"
"Nikola Jokic","Serbia"
"Marcelo Huertas","Brazil"
"Mario Hezonja","Croatia"
"Maurice Ndour","Senegal"
"Pascal Siakam","Cameroon"
"Nicolas Brussino","Argentina"
"Mindaugas Kuzminskas","Lithuania"
"Nicolas Laprovittola","Argentina"
"Juancho Hernangomez","Spain"
"Kyle Wiltjer","Canada"
"Patricio Garino","Argentina"
"Tomas Satoransky","Czech Republic"
"Timothe Luwawu-Cabarrot","France"
"Thon Maker","South Sudan"
"Willy Hernangomez","Spain"
"Paul Zipser","Germany"
"Skal Labissiere","Haiti"
